n,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
300,adjusted_mutual_info_score,0.979769015664891,0.8113539235556175,1.0,1.0,1.0,1.0
300,adjusted_rand_score,1.0,0.17447558289140316,1.0,1.0,1.0,1.0
300,v_measure_score,0.7867705399536641,0.6935541964567796,1.0,1.0,1.0,1.0
300,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
300,fowlkes_mallows_score,0.7384121648866067,0.8895199779913834,1.0,1.0,1.0,1.0
600,adjusted_mutual_info_score,0.5841452387549053,1.0,1.0,1.0,1.0,1.0
600,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,1.0
600,v_measure_score,0.7599288904288474,0.6384432656147584,1.0,1.0,1.0,1.0
600,homogeneity_score,1.0,0.9999999999999996,1.0,1.0,1.0,1.0
600,fowlkes_mallows_score,1.0,0.7738193517659677,1.0,1.0,1.0,1.0
900,adjusted_mutual_info_score,0.8110782547303823,1.0,1.0,1.0,1.0,0.9932061563365056
900,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,0.996664808645439
900,v_measure_score,0.9966222660753856,1.0,1.0,1.0,1.0,0.9932199395829051
900,homogeneity_score,1.0,1.0,1.0,1.0,1.0,0.9932182653802683
900,fowlkes_mallows_score,0.955400849955207,1.0,1.0,1.0,1.0,0.9977740699657522
1200,adjusted_mutual_info_score,0.4952461770532451,1.0,1.0,1.0,1.0,0.984067896409227
1200,adjusted_rand_score,0.8358335269142976,0.9937861446098091,1.0,1.0,1.0,0.9925031276269993
1200,v_measure_score,0.9541055274408138,0.7382794801265125,1.0,1.0,1.0,0.9840921204149213
1200,homogeneity_score,0.9999999999999996,1.0,1.0,1.0,1.0,0.9840911873313966
1200,fowlkes_mallows_score,1.0,0.9708448292799846,1.0,1.0,1.0,0.9949979218945637
1500,adjusted_mutual_info_score,1.0,0.8457693717520091,1.0,1.0,1.0,0.9814497154911282
1500,adjusted_rand_score,0.9862205301669578,1.0,1.0,1.0,1.0,0.990012815063691
1500,v_measure_score,0.5359943381065725,1.0,1.0,1.0,1.0,0.9814722695364815
1500,homogeneity_score,0.995621380714046,1.0,1.0,1.0,1.0,0.9814597740297006
1500,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,0.9933375286633485
1800,adjusted_mutual_info_score,1.0,0.9736098242699197,1.0,1.0,1.0,0.9628892280521639
1800,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,0.9800796032849337
1800,v_measure_score,0.9981334304378368,1.0,1.0,1.0,1.0,0.962926817413424
1800,homogeneity_score,1.0,1.0,1.0,1.0,1.0,0.9629110152178882
1800,fowlkes_mallows_score,1.0,0.9048284501534043,1.0,1.0,1.0,0.9867125940500622
2100,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,0.9565607597062126
2100,adjusted_rand_score,0.816207033312279,0.7506812126891889,1.0,1.0,1.0,0.9772572811449057
2100,v_measure_score,0.9983663306134156,1.0,1.0,1.0,1.0,0.9565984654539508
2100,homogeneity_score,0.9999999999999998,1.0,1.0,1.0,1.0,0.9565839783750298
2100,fowlkes_mallows_score,0.9995236960911027,1.0,1.0,1.0,1.0,0.9848312174369835
2400,adjusted_mutual_info_score,0.9421397104992987,1.0,1.0,1.0,1.0,0.9498014339508077
2400,adjusted_rand_score,0.9851993144568649,0.9987507819031466,1.0,1.0,1.0,0.9739181065823154
2400,v_measure_score,1.0,0.8508092919343012,1.0,1.0,1.0,0.9498395536108535
2400,homogeneity_score,1.0,1.0,1.0,1.0,1.0,0.9498393284594353
2400,fowlkes_mallows_score,0.8717050124339912,0.38586843793912495,1.0,1.0,1.0,0.9826048275946124
2700,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,0.9601833455040647
2700,adjusted_rand_score,0.9664981233511799,1.0,1.0,1.0,1.0,0.9800872069602979
2700,v_measure_score,0.5516126077506406,0.998686627235137,1.0,1.0,1.0,0.9602102186355868
2700,homogeneity_score,0.9999999999999996,1.0,1.0,1.0,1.0,0.9602053683316317
2700,fowlkes_mallows_score,0.998889508234077,1.0,1.0,1.0,1.0,0.9867199599181201
3000,adjusted_mutual_info_score,1.0,0.9475696268682977,1.0,1.0,1.0,0.9488755907587633
3000,adjusted_rand_score,0.9990010010016679,1.0,1.0,1.0,1.0,0.9731688618458875
3000,v_measure_score,1.0,0.6116104347132894,1.0,1.0,1.0,0.9489066422800659
3000,homogeneity_score,1.0,1.0,1.0,1.0,1.0,0.9488984407785186
3000,fowlkes_mallows_score,0.8721169194864803,1.0,1.0,1.0,1.0,0.982106780262215
