K,Metric,bayesian,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.6794464785953379,1.0,0.149172291969368,0.1478386924399302
3,adjusted_rand_score,0.5386948920338159,1.0,0.06696185278141868,0.06281690167795786
3,v_measure_score,0.7117100377067697,1.0,0.3528598906744579,0.35139767414988016
4,adjusted_mutual_info_score,0.5640442237453605,1.0,0.13885058914416865,0.13785638991237456
4,adjusted_rand_score,0.31908035644196286,1.0,0.060908969767862475,0.06072836016758606
4,v_measure_score,0.5449497794850112,1.0,0.4061124157228365,0.4041885310857808
5,adjusted_mutual_info_score,0.461799553200423,1.0,0.12955113004164673,0.12836732753805097
5,adjusted_rand_score,0.2009467348553214,1.0,0.06148918342518739,0.05337118421059086
5,v_measure_score,0.46910358507366057,1.0,0.44474524496690765,0.4444097989137905
6,adjusted_mutual_info_score,0.39289422279861974,1.0,0.12136029390286926,0.12157654724619993
6,adjusted_rand_score,0.126298631301277,1.0,0.057605783111085815,0.05595077762194771
6,v_measure_score,0.4007321574399997,1.0,0.47589721946218777,0.47555094499614803
7,adjusted_mutual_info_score,0.34054326476527896,1.0,0.1144939441031064,0.11413733146178881
7,adjusted_rand_score,0.10049926500607542,1.0,0.05497104778892368,0.051557834787280654
7,v_measure_score,0.32926268919811624,1.0,0.5011856324124131,0.5008136801991634
8,adjusted_mutual_info_score,0.27889602073217984,0.9798947966058359,0.10514600933860999,0.10375383111390349
8,adjusted_rand_score,0.07531725531585198,0.9914929286514983,0.053510373866317275,0.05206544711267706
8,v_measure_score,0.2855006039379706,0.9808323542378335,0.5176082372177088,0.5172050434759716
9,adjusted_mutual_info_score,0.2619763321311123,0.6783111315738377,0.09057792371366324,0.08950510798123183
9,adjusted_rand_score,0.056723537974982155,0.803709172971601,0.06598564977921698,0.06831315833274834
9,v_measure_score,0.2557913598369438,0.7220827455804464,0.5097722797309656,0.510228872913716
10,adjusted_mutual_info_score,0.23217364249816536,0.10603068274301666,0.08118997508047524,0.08118997508047524
10,adjusted_rand_score,0.04304669244465366,0.19000677388657858,0.1403976644741418,0.1403976644741418
10,v_measure_score,0.24107605328538692,0.23195890306073436,0.4301105330791197,0.4301105330791197
11,adjusted_mutual_info_score,0.20704307369525496,0.029927197688492706,0.10306233433507253,0.10509458824572246
11,adjusted_rand_score,0.03497989169214495,0.0193178068959221,0.09274735767197356,0.09116586204005524
11,v_measure_score,0.20586336478478873,0.10182226477855934,0.28746163542536723,0.28928753387198647
12,adjusted_mutual_info_score,0.1770646707065951,0.033366711220175274,0.12203953056458139,0.12401607038470912
12,adjusted_rand_score,0.03184915882045304,0.017169493180052616,0.06641642682297141,0.06296537717233125
12,v_measure_score,0.1953023127839768,0.09809477711477914,0.19215805214793288,0.19149217046315525
13,adjusted_mutual_info_score,0.15949658664726957,0.034610983249563396,0.11787473578985934,0.11764787110978654
13,adjusted_rand_score,0.03741858396395182,0.02289089044510389,0.05766146646399598,0.05617553525015464
13,v_measure_score,0.17634085506548797,0.10222793753719236,0.16058415167091727,0.16073599384649492
14,adjusted_mutual_info_score,0.13294784247053099,0.040383897130966684,0.11024360665956467,0.11124298785165665
14,adjusted_rand_score,0.03586646724802794,0.02791273868549344,0.05199894001531424,0.05084232424862267
14,v_measure_score,0.16504453006137082,0.11439559465507958,0.14885731048151798,0.14871835618084833
15,adjusted_mutual_info_score,0.10726376081414077,0.0424306027766843,0.10494041765068444,0.10586744826331626
15,adjusted_rand_score,0.038934438643656796,0.03491041062957206,0.047425988414381316,0.046781664038711854
15,v_measure_score,0.14912432821223195,0.12433273540217904,0.1425283812443093,0.14230349765291392
16,adjusted_mutual_info_score,0.09716479814430598,0.0434695848672121,0.09983356766760217,0.09919998916457276
16,adjusted_rand_score,0.03737779757066014,0.03642334641460091,0.044457521551703114,0.04325882846937311
16,v_measure_score,0.147052094903321,0.13482854080520135,0.13826697389109766,0.14124273322327213
17,adjusted_mutual_info_score,0.0909000990443631,0.043794576201805796,0.08980909859579073,0.0899612445406636
17,adjusted_rand_score,0.04495134947300718,0.03805376188697139,0.041023313289973336,0.039279667751657095
17,v_measure_score,0.1525926872050684,0.14503579830165242,0.1369614095767251,0.1368268725218867
18,adjusted_mutual_info_score,0.08031673501387325,0.04411771345605522,0.08574529814953255,0.08491335031398203
18,adjusted_rand_score,0.039556875419518536,0.038309265192065574,0.038628062586021236,0.039479135549142355
18,v_measure_score,0.1582228023603434,0.15622909058771897,0.1347536954105491,0.1397686741309055
19,adjusted_mutual_info_score,0.07484741784215357,0.0426597221499787,0.07814613157590959,0.07836130915901478
19,adjusted_rand_score,0.04044835902787131,0.03842907863075621,0.03581842551772664,0.035256465459945166
19,v_measure_score,0.1760789840644635,0.1662162988383647,0.13209892417886265,0.1348180356719177
20,adjusted_mutual_info_score,0.07173932671327617,0.046742422605292856,0.07378086459755899,0.07528908623724884
20,adjusted_rand_score,0.03602869443132166,0.039373714515472495,0.03223220056237004,0.03173362562697969
20,v_measure_score,0.1652476227083865,0.18011845055283354,0.13149789536776343,0.1337995883925787
