K,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.7334012369626352,0.7334012369626352,1.0,0.14853412766798307,0.1492424731893321
3,adjusted_rand_score,0.5711835334476844,0.5711835334476844,1.0,0.06323462127068773,0.06803958872711166
3,v_measure_score,0.73401855617021,0.73401855617021,1.0,0.3547102237308714,0.3490704596892258
3,homogeneity_score,0.5798019866307755,0.5798019866307755,1.0,1.0000000000000007,1.0000000000000007
3,fowlkes_mallows_score,0.7739764956678843,0.7739764956678843,1.0,0.1895449187903106,0.20997184657164258
4,adjusted_mutual_info_score,0.5758440058424192,0.47152331637664685,1.0,0.13917311647129846,0.13464597128513026
4,adjusted_rand_score,0.3319946452476573,0.3319946452476573,1.0,0.06205269753726913,0.053426461507361425
4,v_measure_score,0.5771596324111234,0.5771596324111234,1.0,0.4033389733246452,0.4033775379603614
4,homogeneity_score,0.4056390622295664,0.4056390622295664,1.0,1.0,1.0
4,fowlkes_mallows_score,0.6309309282925378,0.6309309282925378,1.0,0.2040714612343494,0.20351745585750053
5,adjusted_mutual_info_score,0.4723284454204041,0.0,1.0,0.1308376040169158,0.12804306425325498
5,adjusted_rand_score,0.2091917591125198,0.2091917591125198,1.0,0.061937872486274935,0.05419080875657476
5,v_measure_score,0.4743509876140327,0.4381103563153238,1.0,0.44590151005082834,0.44399209641254617
5,homogeneity_score,0.31091750708257165,0.31091750708257165,1.0,0.9999999999999998,0.9999999999999998
5,fowlkes_mallows_score,0.540402996133523,0.540402996133523,1.0,0.18444566142959834,0.1816868212339602
6,adjusted_mutual_info_score,0.4006860250634278,0.4006860250634278,1.0,0.12191307065624818,0.11868762121701153
6,adjusted_rand_score,0.14280046313813358,0.14280046313813358,1.0,0.06710458419643013,0.05311978145306877
6,v_measure_score,0.40339673724603387,0.40339673724603387,1.0,0.4783488473533448,0.4745579820777802
6,homogeneity_score,0.2526593466621248,0.25265934666212486,1.0,0.9999999999999998,0.9999999999999998
6,fowlkes_mallows_score,0.478753773458486,0.478753773458486,1.0,0.19664895698015689,0.2023712902987821
7,adjusted_mutual_info_score,0.3461808234254581,0.3461808234254581,1.0,0.11483917874419977,0.11473983195113038
7,adjusted_rand_score,0.10231243960542942,0.0,1.0,0.05879706957796685,0.059724180717968214
7,v_measure_score,0.3495766549552644,0.3495766549552644,1.0,0.5011553075796158,0.4991637227475138
7,homogeneity_score,0.21181029461613013,0.21181029461613013,1.0,0.9958189098055396,0.9959192835237333
7,fowlkes_mallows_score,0.432051832013116,0.3756944138327989,1.0,0.18437481240226297,0.170631088617497
8,adjusted_mutual_info_score,0.29264044360406827,0.29833983735028097,1.0,0.10502000436091626,0.10085913917778899
8,adjusted_rand_score,0.07657302672940829,0.07657302672940829,1.0,0.05450904324393373,0.04193954372958287
8,v_measure_score,0.30246345959593907,0.2914426825945002,1.0,0.5179971925723933,0.5181991464900687
8,homogeneity_score,0.18212454201760525,0.18212454201760525,1.0,0.9855817386171947,0.9858314285608064
8,fowlkes_mallows_score,0.39684975237068437,0.3976913183335691,1.0,0.17247963468325145,0.1752120234142839
9,adjusted_mutual_info_score,0.2654251316512703,0.2516154734045297,0.44192787115888454,0.08741482286836626,0.09416353648578335
9,adjusted_rand_score,0.05930414861495319,0.05930414861495319,0.638490649661615,0.08893929809890534,0.06281949029513643
9,v_measure_score,0.2752712891723133,0.253111161382401,0.5299926260575947,0.5095712767541721,0.5073388045707735
9,homogeneity_score,0.1569285858420267,0.15421993618698868,0.45481562901683403,0.8991749738240552,0.8878845765564413
9,fowlkes_mallows_score,0.369534400926021,0.369534400926021,0.8523047375042295,0.1950850441609614,0.18953747470803167
