K,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
3,adjusted_mutual_info_score,0.8145934794344001,0.9875804813975628,0.9764277563169353,0.9888446530712554,0.9888446530712554,0.9813734585104719
3,adjusted_rand_score,0.9940030181141498,0.9925067934195818,0.9880061086241472,0.9940030181141498,0.9850483971121199,0.991000018162288
3,v_measure_score,0.9888650156468761,0.9938015906454756,0.9764707844946207,0.9888650156468761,0.9888650156468761,0.981407458740322
3,homogeneity_score,0.9801857792758158,0.9888623166726089,0.9764627890090612,0.9888623166726089,0.9888623166726089,0.9814047801204548
3,fowlkes_mallows_score,0.8526560716607842,0.9959980261121092,0.9919961486842628,0.9959980261121092,0.9919962453037888,0.9939940301561728
4,adjusted_mutual_info_score,0.9952803707311187,0.6216977440257021,0.9905607277985206,0.9952803707311187,0.9952803707311187,0.9905607277985206
4,adjusted_rand_score,0.7576927141895761,0.9973306577635366,0.9946613298492503,0.9973306577635366,0.9973306577635366,0.9946613298492503
4,v_measure_score,0.9905929322453414,0.9827457867719779,0.9905914973743818,0.9952957554740187,0.9952957554740187,0.9905914973743818
4,homogeneity_score,0.995294319561939,0.9952943195619388,0.9905886391238781,0.995294319561939,0.9905886391238781,0.9905886391238781
4,fowlkes_mallows_score,0.9959960000240962,0.9960060643514687,0.9959920000963842,0.9979959919920162,0.9979959919920162,0.9959920000963842
5,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,1.0
5,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,1.0
5,v_measure_score,1.0,1.0,1.0,1.0,1.0,1.0
5,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
5,fowlkes_mallows_score,1.0,0.9096800338762606,1.0,1.0,1.0,1.0
6,adjusted_mutual_info_score,0.9862551771649954,0.9862551771649954,0.9862517548747568,0.9862551771649956,0.9862551771649956,0.9862551771649956
6,adjusted_rand_score,0.9904051161421464,0.9904051161421464,0.9903907371620911,0.9904051161421464,0.9903907371620911,0.9904051161421464
6,v_measure_score,0.9863518726274255,0.9829339192720881,0.9863484747586909,0.9863518726274256,0.9863518726274256,0.9863518726274256
6,homogeneity_score,0.9863419534165131,0.9795129101117933,0.9863352492692211,0.9863419534165132,0.9863419534165132,0.9863419534165132
6,fowlkes_mallows_score,0.9919963307928674,0.2556179573587657,0.9919843561626299,0.9919963307928674,0.9919963307928674,0.9919963307928674
7,adjusted_mutual_info_score,0.6825813581706217,0.6099101077299282,1.0,1.0,1.0,0.9969067672789612
7,adjusted_rand_score,0.261052248133098,1.0,1.0,1.0,1.0,0.9976584621370863
7,v_measure_score,1.0,1.0,1.0,1.0,0.9969356979789726,0.9969356979789726
7,homogeneity_score,1.0,1.0,1.0,1.0,1.0,0.9969339066203379
7,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,0.9979909628822814
8,adjusted_mutual_info_score,1.0,0.9468689161086614,1.0,1.0,0.9943284884230771,1.0
8,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,1.0
8,v_measure_score,1.0,1.0,1.0,1.0,1.0,1.0
8,homogeneity_score,1.0,1.0000000000000002,1.0,1.0,1.0,1.0
8,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,1.0
9,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,1.0
9,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,1.0
9,v_measure_score,1.0,0.8291255617784308,1.0,1.0,1.0,1.0
9,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
9,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,1.0
