K,Metric,bayesian,spectral,leiden,louvain,walktrap
4,adjusted_mutual_info_score,0.9307003372328921,0.873711798769904,0.9459543854304535,0.8444954962098306,0.22739612036385376
4,adjusted_rand_score,0.745723271512347,0.9152674693661955,0.9683295391049004,0.8555606344129233,0.22284673400767047
4,v_measure_score,0.9383918640873887,0.8738143946675738,0.9574309407637402,0.8501756766574008,0.22809957670886966
4,homogeneity_score,0.8800285418841141,0.8737807324906237,0.912220316470119,0.7505899110992413,0.2045252730042883
4,fowlkes_mallows_score,0.9485328302058893,0.9364369776706877,0.98432940969015,0.9357353404810274,0.4608591730774318
5,adjusted_mutual_info_score,0.906723381147793,0.9109248876002163,0.9734782696392902,0.870173918684171,0.22585957090888314
5,adjusted_rand_score,0.9715413469446016,0.9403173740712765,0.9856860145593643,0.9375087756214905,0.17689100180290332
5,v_measure_score,0.9279039166399723,0.9110357469266713,0.9758882650841889,0.9142056356115635,0.22710408259873588
5,homogeneity_score,0.9526130438610568,0.91102269347495,0.9821315655886895,0.8366093413705512,0.1856986644966844
5,fowlkes_mallows_score,0.9547872802585544,0.9522425129446377,0.9867533668879498,0.9290931320554128,0.4259994628885056
8,adjusted_mutual_info_score,0.9573131945003421,0.9537556852988633,0.9844053009234648,0.9663694235490574,0.3497426062430656
8,adjusted_rand_score,0.9906642428811624,0.9671117997652192,0.994868781372344,0.8655752525962201,0.31847274652001195
8,v_measure_score,0.9835715054120768,0.953892363995122,0.994594937939613,0.9350278929652827,0.35179143644006744
8,homogeneity_score,0.9781465080498128,0.9538905279391423,0.9931814707964411,0.9129132834425542,0.3386896901567824
8,fowlkes_mallows_score,0.9877511708161668,0.9712156616291061,0.9847897781874104,0.9306525582148668,0.4141917180297773
10,adjusted_mutual_info_score,0.96494135813727,0.9789675698269763,0.9899475923705567,0.8987219491844873,0.4431881614977737
10,adjusted_rand_score,0.9927538410339419,0.9845035340268534,0.9982255946041197,0.8715547286538916,0.41148153676496146
10,v_measure_score,0.9783196297314076,0.9790605309680617,0.9961032290785987,0.9131938985192634,0.44565956428606307
10,homogeneity_score,0.9926983365595692,0.9790571980331514,0.995789100818113,0.9146050548941391,0.4438777822862782
10,fowlkes_mallows_score,0.9577353994329842,0.9860497173873013,0.969326547930998,0.9127979906138496,0.47137962124388066
20,adjusted_mutual_info_score,0.9668166638391156,0.9921124067574814,0.9952533393995632,0.9462152829619519,0.6175405262834556
20,adjusted_rand_score,0.9983231664659344,0.9921034116418342,0.9861248137403619,0.8960613379487796,0.5518267129750027
20,v_measure_score,0.9971956765283745,0.9922336532752583,0.9959614573549477,0.9736564467244608,0.6234357443208055
20,homogeneity_score,0.9984832142186523,0.9922305449628464,0.9976310614621834,0.9269498983218257,0.6221211575116813
20,fowlkes_mallows_score,0.9804519186895556,0.9924963727320069,0.9897739303046047,0.9034268022501524,0.5744775679117096
25,adjusted_mutual_info_score,0.9979755720936805,0.9980681682718278,0.9944087741042832,0.9519308768385649,0.7128437631022135
25,adjusted_rand_score,0.9942384745163901,0.9979122909395823,0.9925671606126262,0.8602941881217564,0.6503615994770728
25,v_measure_score,0.9812472449515,0.9981128851041813,0.9966803101538526,0.9653504271756705,0.7195036690542368
25,homogeneity_score,0.9940535940685866,0.9981116723179791,0.9948717514580341,0.9259228062708396,0.7187163806222071
25,fowlkes_mallows_score,0.9714696810653806,0.9979952988099379,0.9901499866488054,0.8721448883472099,0.6643794315307137
40,adjusted_mutual_info_score,0.9955845510081065,1.0,0.9989995776885626,0.9834109638773857,0.8242672296289133
40,adjusted_rand_score,0.9876566437313719,1.0,0.9886944169681072,0.941337452477848,0.7578277644573368
40,v_measure_score,0.9618783729748799,1.0,0.996566385275786,0.981947443787182,0.8344288477649726
40,homogeneity_score,0.9986760702939348,1.0,0.9977401786436533,0.9653762323644617,0.8338773947820363
40,fowlkes_mallows_score,0.9888209922169544,1.0,0.9806689335942579,0.9132165033401292,0.7638621110600634
50,adjusted_mutual_info_score,0.9779536156949288,0.9996223138265645,0.9901544328992291,0.9708940080599378,0.8396327805122075
50,adjusted_rand_score,0.9756659041679244,0.999486696728557,0.9525563058953125,0.8684583648086228,0.7645865368965038
50,v_measure_score,0.9978715941339574,0.9996560601296312,0.9897406688706291,0.9721907124272642,0.8539599030377671
50,homogeneity_score,0.9995093375118318,0.9996556608468892,0.9826298767256194,0.9585421233689457,0.8533033487738187
50,fowlkes_mallows_score,0.9923388067219909,0.9994968370403307,0.9508596084872654,0.9017432205686614,0.7692810170578405
100,adjusted_mutual_info_score,0.9945517025507208,0.9971760027090072,0.899492887405394,0.8963789939116127,0.9594646389445677
100,adjusted_rand_score,0.9883926171473216,0.9883071468943101,0.6131631188247653,0.6082842394819474,0.936393550503492
100,v_measure_score,0.9967181637839755,0.9978849185917447,0.9160523943923847,0.9146799002660669,0.9696833628925706
100,homogeneity_score,0.9913657253532857,0.9967344827343114,0.8434055508645265,0.8346917923736455,0.969566057345895
100,fowlkes_mallows_score,0.9658968960527679,0.9884645549279403,0.670801746033127,0.6708745616324726,0.937015194853338
