K,Metric,bayesian,spectral,leiden,louvain,walktrap
4,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9888633867851886
4,adjusted_rand_score,1.0,1.0,1.0,0.9994665599288661,0.9946707308996438
4,v_measure_score,1.0,1.0,1.0,1.0,0.988870622860817
4,homogeneity_score,1.0,1.0,1.0,1.0,0.9888697098104626
4,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9960022520391324
5,adjusted_mutual_info_score,0.9949968721156941,1.0,1.0,1.0,0.9970491683202872
5,adjusted_rand_score,1.0,1.0,1.0,0.9994998498749225,0.9985000500250926
5,v_measure_score,0.9990173270378984,1.0,1.0,1.0,0.9970521053807104
5,homogeneity_score,1.0,1.0,1.0,1.0,0.9970520434303697
5,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9987998000401
8,adjusted_mutual_info_score,0.9986333694960667,0.9992829452126674,0.9992829452126674,1.0,0.9971318576577962
8,adjusted_rand_score,0.9414942634018324,0.99954258247002,0.99954258247002,0.99954258247002,0.9981706971124649
8,v_measure_score,0.9992846394912983,0.9992846394912983,0.9992846394912983,0.9992846394912983,0.9971386345919041
8,homogeneity_score,0.9992845626025725,0.9992845626025725,0.9992845626025725,0.9992845626025725,0.9971384045436535
8,fowlkes_mallows_score,0.9995996796155386,0.9995996796155386,0.9995996796155386,0.9995996796155386,0.9983990400013846
10,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.999371125786143
10,adjusted_rand_score,0.9997777827070494,1.0,1.0,1.0,0.9995551993569047
10,v_measure_score,1.0,1.0,1.0,0.9993733471062278,0.9993733471062278
10,homogeneity_score,1.0,1.0,1.0,1.0,0.9993732603017038
10,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9995995993589584
20,adjusted_mutual_info_score,0.9804426612215359,1.0,1.0,1.0,1.0
20,adjusted_rand_score,0.4373571274767344,1.0,1.0,1.0,1.0
20,v_measure_score,0.9983954281843744,1.0,1.0,1.0,1.0
20,homogeneity_score,1.0,1.0,1.0,1.0,1.0
20,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
30,adjusted_mutual_info_score,0.9494705692487807,0.9999999999999999,1.0,1.0,1.0
30,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
30,v_measure_score,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0
30,homogeneity_score,1.0,1.0,1.0,0.9985602743074911,1.0
30,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
50,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
50,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
50,v_measure_score,1.0,1.0,1.0,1.0,1.0
50,homogeneity_score,1.0,1.0,1.0,1.0,1.0
50,fowlkes_mallows_score,0.9902249514860018,1.0,1.0,1.0,1.0
80,adjusted_mutual_info_score,0.9976646695732269,0.9999999999999998,1.0,1.0,1.0
80,adjusted_rand_score,0.9874986143193027,1.0,1.0,1.0,1.0
80,v_measure_score,1.0,0.9999999999999999,1.0,1.0,1.0
80,homogeneity_score,1.0000000000000002,1.0,1.0,1.0,1.0
80,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
100,adjusted_mutual_info_score,0.9981184263545071,1.0,0.9980800013123898,0.9980800013123898,1.0
100,adjusted_rand_score,1.0,1.0,0.9897979800041224,0.9897979800041224,1.0
100,v_measure_score,0.9984925811302009,1.0,0.9984925811302009,0.9969806107761104,1.0
100,homogeneity_score,1.0,1.0,0.9969897000433603,0.9969897000433603,1.0
100,fowlkes_mallows_score,0.9975111886232512,1.0,0.9899494936611666,0.9899494936611666,1.0
