K,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
4,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,0.9736897219086309
4,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,0.9840113797862295
4,v_measure_score,1.0,1.0,1.0,1.0,1.0,0.9737754884854053
4,homogeneity_score,1.0,1.0,1.0,1.0,1.0,0.9737516048843498
4,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,0.9879968057334094
5,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,0.9692822407701146
5,adjusted_rand_score,0.7331968748508132,1.0,1.0,1.0,1.0,0.9776431621847484
5,v_measure_score,1.0,0.9057460992755191,1.0,1.0,1.0,0.9694358658019351
5,homogeneity_score,1.0,0.9999999999999999,1.0,1.0,1.0,0.9694101285451293
5,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,0.9820970103713241
8,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,1.0
8,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,1.0
8,v_measure_score,1.0,0.8856990057004878,1.0,1.0,1.0,1.0
8,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
8,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0,1.0
10,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,1.0
10,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0,1.0
10,v_measure_score,1.0,1.0,1.0,1.0,1.0,1.0
10,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
10,fowlkes_mallows_score,1.0,0.9979899193446562,1.0,1.0,1.0,1.0
20,adjusted_mutual_info_score,0.9889036543695094,0.969405889186701,1.0,1.0,0.9969786030708738,1.0
20,adjusted_rand_score,0.9488243430152143,0.9477053631003434,1.0,1.0,1.0,1.0
20,v_measure_score,1.0,1.0,1.0,1.0,1.0,1.0
20,homogeneity_score,1.0,1.0,1.0,1.0,0.9971702315295184,1.0
20,fowlkes_mallows_score,1.0,0.7522754597532335,1.0,1.0,0.9979796332765303,1.0
25,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,1.0
25,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9589243863327989,1.0
25,v_measure_score,1.0,0.9913116313040271,1.0,1.0,1.0,1.0
25,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
25,fowlkes_mallows_score,0.984312854163652,0.9909591313469996,1.0,1.0,1.0,1.0
40,adjusted_mutual_info_score,0.9356328053353802,0.9939442554079753,1.0,1.0,0.9939442554079754,1.0
40,adjusted_rand_score,0.9492145798383407,1.0,1.0,1.0,0.9492145798383407,1.0
40,v_measure_score,1.0,0.9977246466846033,1.0,1.0,0.9808499852577619,1.0
40,homogeneity_score,1.0,0.9812098175290892,1.0,0.9980673249185898,0.9718147262936339,1.0
40,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.951661902861773,1.0
50,adjusted_mutual_info_score,0.9459096771867285,0.9555780933228962,0.9924892820008588,0.970217638536012,0.9585475690918134,0.9924892820008588
50,adjusted_rand_score,0.8076189142346948,0.8371166144314208,0.9736372034845783,0.8854270204144048,0.8221153846153846,0.9736372034845783
50,v_measure_score,0.9632613366283146,0.9708234507866311,0.9946878075395129,0.9782760455961665,0.9731549080915497,0.994687807539513
50,homogeneity_score,0.9220391191403545,0.9503885303620438,0.9929126471945776,0.9574758831674661,0.933538747723081,0.9929126471945776
50,fowlkes_mallows_score,0.8388704928078611,0.8267123063134308,0.9742648977729832,0.8934871726729446,0.8388704928078611,0.9742648977729832
