xi,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
0.1,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,1.0
0.1,adjusted_rand_score,0.19756994407990466,1.0,1.0,1.0,1.0,1.0
0.1,v_measure_score,1.0,1.0,1.0,1.0,1.0,1.0
0.1,homogeneity_score,1.0,1.0,1.0,1.0,1.0,1.0
0.1,fowlkes_mallows_score,1.0,0.9685870141706941,1.0,1.0,1.0,1.0
0.2,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0,0.9692822407701146
0.2,adjusted_rand_score,1.0,0.6426471803376448,1.0,1.0,1.0,0.9776431621847484
0.2,v_measure_score,1.0,1.0,1.0,1.0,1.0,0.9694358658019351
0.2,homogeneity_score,0.9999999999999999,1.0,1.0,1.0,1.0,0.9694101285451293
0.2,fowlkes_mallows_score,1.0,0.9538285719790627,1.0,1.0,1.0,0.9820970103713241
0.3,adjusted_mutual_info_score,0.9929995917748249,1.0,0.9851413099328546,1.0,0.9890665188652717,0.7951057293262999
0.3,adjusted_rand_score,0.9223706055948679,0.9950050754258711,0.9900290135855162,0.9950050754258711,0.9950050754258711,0.828555807001486
0.3,v_measure_score,0.9860754161539057,0.9806616914060292,0.9852156194549836,1.0,0.996086631901329,0.7961311169594791
0.3,homogeneity_score,0.9902938141016913,0.9930284311574672,0.9852079674855475,1.0,0.9794073298954848,0.7956066638644974
0.3,fowlkes_mallows_score,0.5791015548303334,1.0,0.992015276311203,1.0,0.996000080601593,0.86278371506228
0.4,adjusted_mutual_info_score,0.9010578388515065,0.8040110340868729,0.9270525897162986,0.9960669625875374,0.9793235799330617,0.5735756437558731
0.4,adjusted_rand_score,0.8966488036122102,0.9850732229948642,0.9456640598096949,0.9974962343264018,0.9631702774940186,0.604130588740587
0.4,v_measure_score,0.9815273829845871,0.9692931216918721,0.927417439457262,0.9718536830466903,0.9746538502632062,0.5757098748484616
0.4,homogeneity_score,0.9863881725850489,0.9649965373590653,0.9273277688834682,0.9960850846363261,0.9410538297866877,0.5752803485940349
0.4,fowlkes_mallows_score,0.8057950014452828,0.956660750904543,0.956491208991414,0.9900104526410559,0.9722097104769388,0.6831727464580636
0.5,adjusted_mutual_info_score,0.0,0.0,0.567906975213985,0.7372796263850477,0.571061328344167,0.14223324174754615
0.5,adjusted_rand_score,0.0,0.0,0.5962789867746691,0.31730107137092195,0.4570999244708378,0.12130438017511769
0.5,v_measure_score,0.0,0.0,0.570071131344145,0.5772979257697226,0.5659028093164352,0.14819907453089137
0.5,homogeneity_score,0.0,0.0,0.5692510916730494,0.7667596070026617,0.6020929286421055,0.11578577438543226
0.5,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.6770871287594502,0.8043952934649845,0.6023297927325344,0.3962668819644132
0.6,adjusted_mutual_info_score,0.0,0.0,0.08180555599699409,0.0710584578317925,0.08832266558143552,0.014534799914849123
0.6,adjusted_rand_score,0.0,0.0,0.06294630295055417,0.092877251206824,0.042400243771908486,0.0005174399453613564
0.6,v_measure_score,0.0,0.0,0.08665345946291401,0.11082504111543867,0.094818955411697,0.024796865842397455
0.6,homogeneity_score,0.0,0.0,0.08238043287146733,0.1379668765918317,0.07669438032319839,0.01400476465592446
0.6,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.27729548513449287,0.21533116687675255,0.19856134736201256,0.43032675534473547
0.7,adjusted_mutual_info_score,0.0,0.0,0.03026906835215217,0.02915608669032279,0.036545181293278196,0.015995146879365294
0.7,adjusted_rand_score,0.0,0.0,0.024047146834826574,0.010500433399183582,0.010030598821127045,0.0009193931144909815
0.7,v_measure_score,0.0,0.0,0.03517205138551421,0.0345818800002609,0.038939854563381573,0.025216124269149508
0.7,homogeneity_score,0.0,0.0,0.03480680853714846,0.03423642036433826,0.047017996261925175,0.015158930610855105
0.7,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.2247767019709191,0.17066147868783452,0.17693781908528508,0.4175708233110379
0.8,adjusted_mutual_info_score,0.0,0.0,0.0020242469171354613,0.007781780838470928,0.009772791270084983,0.006232418910691088
0.8,adjusted_rand_score,0.0,0.0,0.00048382175922139756,0.004623988459084988,0.00349647340012022,0.00034334522481202886
0.8,v_measure_score,0.0,0.0,0.007162830207275018,0.017443093100380464,0.02025243790703362,0.014989295767721456
0.8,homogeneity_score,0.0,0.0,0.006971672398280675,0.030143136915552083,0.025589311949088516,0.009321588108592535
0.8,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.21384403713897182,0.14940364461147973,0.15601931770866034,0.40964234057877913
0.9,adjusted_mutual_info_score,0.0,0.0,-0.0022294469758347866,9.381310031763132e-05,0.005505726038708552,-0.0004622739466132779
0.9,adjusted_rand_score,0.0,0.0,-0.0016836996347953936,0.003877505133876768,0.002702827519980448,-0.00011899498888233129
0.9,v_measure_score,0.0,0.0,0.003197555426282626,0.01736277131001391,0.019016685284852182,0.007270162455364029
0.9,homogeneity_score,0.0,0.0,0.0029747384693713332,0.021520107287951545,0.01675546314279072,0.005056836571141718
0.9,fowlkes_mallows_score,0.4463173749689779,0.4463173749689779,0.23589176122065278,0.1450338919024466,0.12897604726925505,0.3736773013878222
