n,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
500,adjusted_mutual_info_score,0.9425746972245401,0.9318499630353874,0.9880532237719759,0.995072096290768,0.9942552139782499
500,adjusted_rand_score,0.9220115633169328,0.9570179105484702,0.9910847450215019,0.9980041213655493,0.9842312126492383
500,v_measure_score,0.8733525710388292,0.8970470208214291,0.9881734770520858,0.9951216976559054,0.9926046374362023
500,homogeneity_score,0.9706386734889563,0.934077724559342,0.9881629298587896,0.9975534529368261,0.9923332162264895
500,fowlkes_mallows_score,0.9865848972016151,0.9291247153130244,0.992853827743659,0.9968123147665988,0.9984001299301486
1000,adjusted_mutual_info_score,0.8970396896766892,0.9163671781215484,0.9814784089439824,0.9992133925175075,0.9866161470224102
1000,adjusted_rand_score,0.9851650936115138,0.8968742807741663,0.986632826444154,0.9980008430867648,0.9965173972216441
1000,v_measure_score,0.943121013402448,0.8550632554707149,0.981571043614014,0.9929265882264844,0.9972779088905865
1000,homogeneity_score,0.9774859378589988,0.9808435317303681,0.981551881088067,0.9972739341606001,0.9933051746838087
1000,fowlkes_mallows_score,0.9883275876247556,0.9115528355310962,0.9892962579235766,0.9987980141504277,0.9948594774253638
1500,adjusted_mutual_info_score,0.9723075894070685,0.9593196467621443,0.9812337022389255,0.9971187770879976,0.9982320058843399
1500,adjusted_rand_score,0.9665468154960157,0.8411112360073127,0.9868930717976584,0.9990006767044626,0.9970065081284218
1500,v_measure_score,0.8519960760212992,0.9133211781142094,0.9812961464406577,0.9994446272039763,0.9950650395434639
1500,homogeneity_score,0.9825393556676323,0.9798131222207285,0.9812801294760118,0.9983334685381159,0.9883309373901106
1500,fowlkes_mallows_score,0.940293996207887,0.9818268458771786,0.9895081330159987,0.99787981238599,0.9844244628090758
2000,adjusted_mutual_info_score,0.8868299850427389,0.8479987899069046,0.9730780953879791,0.9959118015825362,0.9845235820705831
2000,adjusted_rand_score,0.977238539691988,0.9450842264805394,0.9811193915892368,0.996520642323523,0.9849011885544791
2000,v_measure_score,0.906167014397643,0.8134743720143891,0.9731452107271826,0.9919265631307745,0.9934025964116845
2000,homogeneity_score,0.9775627393389545,0.9665410287872724,0.9731365751845471,0.9973364582846633,0.9925655785270342
2000,fowlkes_mallows_score,0.9867228636520771,0.9512709511096265,0.9848884544947005,0.9982078076480704,0.9962130407694705
2500,adjusted_mutual_info_score,0.9432359172112166,0.9556518629702004,0.9705418039177431,0.992966078398487,0.9678196988061671
2500,adjusted_rand_score,0.9303623882692579,0.9249125326028709,0.9797555041836826,0.9926493172712062,0.9926429474792531
2500,v_measure_score,0.9272069532392184,0.9507377156084953,0.9706005172158916,0.9931401693696238,0.9891738478983025
2500,homogeneity_score,0.9729447593866265,0.9780370884347676,0.9705967668126639,0.9945214228374656,0.987027651757686
2500,fowlkes_mallows_score,0.9778658085598906,0.9861200414943594,0.9837981115799532,0.9928438545270197,0.9607205441222646
3000,adjusted_mutual_info_score,0.9509370261820098,0.8874859120608412,0.9760905535343861,0.9944161569525672,0.9669726994176348
3000,adjusted_rand_score,0.9718591882042089,0.9642067525680258,0.9840606240631657,0.9965145199181306,0.922412513975724
3000,v_measure_score,0.9574912043239401,0.9379833729827585,0.9761302505340644,0.9939491097102222,0.9442937812113434
3000,homogeneity_score,0.9776690270120595,0.9767931611549014,0.9761197625201253,0.9930834387641184,0.973396857188568
3000,fowlkes_mallows_score,0.9604588769545466,0.8953608865340656,0.9872447524764034,0.99681293314303,0.9968074196459138
3500,adjusted_mutual_info_score,0.9557522226963323,0.9159231422964336,0.9769346328915773,0.9935473990543773,0.988481544803933
3500,adjusted_rand_score,0.9720022521470684,0.791885977750888,0.9847955221059091,0.9978647181239471,0.9964388609824608
3500,v_measure_score,0.9594878905265146,0.9269639495720444,0.976967447207908,0.9945384069476649,0.9929359731542847
3500,homogeneity_score,0.9825039670652105,0.9761513877429528,0.9769632288724364,0.9965419228994745,0.9841456698759584
3500,fowlkes_mallows_score,0.9880250883663763,0.9898046289376691,0.9878331173757291,0.9961309437786099,0.9964662124328717
4000,adjusted_mutual_info_score,0.9768609473295914,0.9100259248417844,0.9766585664472706,0.9936165808947409,0.9798761560715242
4000,adjusted_rand_score,0.9328246089266947,0.9859205712098567,0.9849468642803899,0.9986260519768708,0.9958956443446372
