n,Metric,bayesian,spectral,leiden,louvain,walktrap
800,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
800,adjusted_rand_score,0.9469923648761683,1.0,1.0,1.0,1.0
800,v_measure_score,1.0,1.0,1.0,1.0,1.0
800,homogeneity_score,1.0,1.0,1.0,1.0,1.0
800,fowlkes_mallows_score,0.9464847243000456,1.0,1.0,1.0,1.0
1600,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
1600,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
1600,v_measure_score,1.0,1.0,1.0,1.0,1.0
1600,homogeneity_score,1.0,1.0,1.0,1.0,1.0
1600,fowlkes_mallows_score,0.9511729072558193,1.0,1.0,1.0,1.0
2400,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9948797630859356
2400,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9961904943094699
2400,v_measure_score,1.0,1.0,1.0,1.0,0.9949050437546164
2400,homogeneity_score,1.0,1.0,1.0,1.0,0.9949033824657156
2400,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9966652963919719
3200,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9875567469574148
3200,adjusted_rand_score,0.9353028167204755,1.0,1.0,1.0,0.9914348982886095
3200,v_measure_score,1.0,1.0,1.0,1.0,0.9876027580427118
3200,homogeneity_score,1.0,1.0,1.0,1.0,0.9876005331564007
3200,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9925032033345299
4000,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9882505127093602
4000,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9914485073889753
4000,v_measure_score,1.0,1.0,1.0,1.0,0.9882852392269201
4000,homogeneity_score,1.0,1.0,1.0,1.0,0.98828369437168
4000,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9925155798293986
4800,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9742675833203265
4800,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9815060152288214
4800,v_measure_score,0.9656700735816682,1.0,1.0,1.0,0.9743309257337918
4800,homogeneity_score,1.0,1.0,1.0,1.0,0.9743242614551996
4800,fowlkes_mallows_score,0.855538195397543,1.0,1.0,1.0,0.9838144575559375
5600,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9744218484163929
5600,adjusted_rand_score,1.0,1.0,1.0,1.0,0.981732535360286
5600,v_measure_score,1.0,1.0,1.0,1.0,0.9744757942189867
5600,homogeneity_score,1.0,1.0,1.0,1.0,0.9744717291641298
5600,fowlkes_mallows_score,0.9440413016144439,1.0,1.0,1.0,0.9840131534045462
6400,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9700526775768902
6400,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9790527260140894
6400,v_measure_score,1.0,1.0,1.0,1.0,0.9701079263122305
6400,homogeneity_score,1.0,1.0,1.0,1.0,0.9701024858304411
6400,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9816683320611137
7200,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9495439334248166
7200,adjusted_rand_score,1.0,1.0,1.0,1.0,0.9628735950501857
7200,v_measure_score,1.0,1.0,1.0,1.0,0.9496266562669884
7200,homogeneity_score,1.0,1.0,1.0,1.0,0.9496140632549347
7200,fowlkes_mallows_score,0.903677650633841,1.0,1.0,1.0,0.9675101410436778
8000,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,0.9595158425209026
8000,adjusted_rand_score,0.9258554503315218,1.0,1.0,1.0,0.971359753136213
8000,v_measure_score,1.0,1.0,1.0,1.0,0.9595755673541683
8000,homogeneity_score,1.0,1.0,1.0,1.0,0.9595679037112598
8000,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9749367706624862
