,bayesian,spectral,leiden,louvain,walktrap
1000,0.3306646585464478,0.11917774677276612,0.003063392639160156,0.0027052640914916994,0.03008742332458496
2000,1.124761986732483,0.28033766746520994,0.00531318187713623,0.0054637670516967775,0.11578929424285889
3000,1.9110132455825806,0.6753075599670411,0.008150720596313476,0.008331012725830079,0.25443880558013915
4000,5.486372303962708,2.0412644863128664,0.011085295677185058,0.011861872673034669,0.4752952098846436
5000,4.337591004371643,4.308736252784729,0.015838003158569335,0.01446671485900879,0.7794852495193482
6000,5.220334005355835,7.719865560531616,0.018558382987976074,0.021162700653076173,1.1429152250289918
7000,7.177036237716675,13.577230310440063,0.02084615230560303,0.023371052742004395,1.6399431467056274
8000,14.541964125633239,17.538529777526854,0.024376869201660156,0.034599709510803225,2.2392825841903687
9000,35.83277404308319,16.456195998191834,0.027641677856445314,0.036466455459594725,2.882200598716736
10000,10.689518356323243,39.13253033161163,0.03056640625,0.052037167549133304,3.6945112705230714
