,bayesian,bayesian_fixed_K,spectral,leiden,louvain
300,0.12276086807250977,0.11926097869873047,0.045819425582885744,0.003066396713256836,0.0029039621353149415
600,0.33524911403656005,0.34171619415283205,0.06987102031707763,0.005594730377197266,0.005464482307434082
900,0.6212932109832764,0.6487918853759765,0.11382324695587158,0.007666969299316406,0.00799870491027832
1200,0.9373627185821534,0.9584691286087036,0.1899110794067383,0.010364055633544922,0.010859918594360352
1500,1.2012532711029054,1.2342528343200683,0.281901216506958,0.012471175193786621,0.012897157669067382
1800,1.615336298942566,1.5860582828521728,0.43284666538238525,0.014445734024047852,0.015996837615966798
2100,2.7031298160552977,2.077371048927307,0.6255817413330078,0.01646389961242676,0.01723928451538086
2400,2.2692586183547974,2.3777549505233764,0.8839901447296142,0.018791842460632324,0.019205093383789062
2700,3.1302931785583494,3.0514697790145875,1.1554595708847046,0.021569252014160156,0.022989821434020997
3000,2.943904662132263,5.339737057685852,2.6829007625579835,0.041364097595214845,0.04700944423675537
