,bayesian,bayesian_fixed_K,spectral,leiden,louvain,walktrap
500,0.45370259284973147,0.500824236869812,0.06897027492523193,0.002193307876586914,0.002417731285095215,0.01553051471710205
1000,1.460954189300537,1.8588061571121215,0.19016659259796143,0.005263805389404297,0.005471372604370117,0.07407751083374023
1500,3.2324079275131226,2.8660187005996702,0.4493460416793823,0.009030032157897949,0.009816265106201172,0.16860678195953369
2000,4.508369660377502,4.494111323356629,0.9414237260818481,0.013013100624084473,0.014707732200622558,0.3201282262802124
2500,6.11809732913971,6.650156807899475,1.6922992944717408,0.017614197731018067,0.019357895851135253,0.5143537759780884
3000,8.768400883674621,40.424047756195066,2.8238384246826174,0.018612313270568847,0.020786523818969727,0.7150593996047974
3500,11.172851276397704,17.15343017578125,4.5623808860778805,0.023726725578308107,0.025851106643676756,1.0700995683670045
4000,15.28019289970398,11.833981776237488,6.006704974174499,0.024627184867858885,0.026082539558410646,1.3197476863861084
4500,14.044099426269531,13.575687098503114,8.669171047210693,0.02989535331726074,0.03163414001464844,1.7047244787216187
5000,16.373224306106568,16.936096477508546,10.972461152076722,0.0325183629989624,0.0338249683380127,1.9045014381408691
